Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
HONAUT.NS,33040.46,595.11,6.23,7.42,29.0,12.35,14.56,459.6
ESCORTS.NS,31964.06,124.13,28.98,8.73,114.0,12.02,10.63,1063.83
CRISIL.NS,31791.08,120.99,10.72,7.81,91.0,29.05,24.68,682.18
KIRLOSENG.NS,31756.75,39.0,19.66,14.82,32.0,16.82,15.96,592.39
ABSLAMC.NS,29418.12,34.81,17.81,16.77,254.0,24.28,65.12,764.44
LALPATHLAB.NS,29374.73,30.2,28.33,11.39,83.0,21.47,20.95,462.23
PGHH.NS,29131.89,264.13,14.16,4.71,134.0,114.93,22.18,874.54
CDSL.NS,27861.79,21.84,18.24,18.72,96.0,23.91,38.09,345.92
ZFCVINDIA.NS,26409.71,45.42,17.64,3.97,17.0,14.98,13.0,664.22
SUMICHEM.NS,25978.04,10.89,2.64,6.71,24.0,17.24,17.18,401.3
DATAPATTNS.NS,25665.85,46.43,29.83,33.38,22.0,16.73,54.21,8.09
SYRMA.NS,24815.88,16.97,38.61,24.08,11.0,14.14,10.43,97.81
NETWEB.NS,23664.55,36.5,63.68,73.66,6.0,32.83,11.99,159.51
TIMKEN.NS,23520.9,55.19,2.02,9.35,8.0,14.41,19.47,148.42
FORCEMOT.NS,23216.57,919.25,108.52,14.3,23.0,33.51,13.43,757.47
CUB.NS,21772.55,13.37,12.26,16.15,91.0,13.24,48.06,449.93
CESC.NS,21630.66,11.63,4.72,10.19,369.0,12.55,12.31,141.0
PFIZER.NS,21151.92,157.72,5.01,7.19,161.0,17.16,35.25,942.34
GRANULES.NS,20655.11,26.94,4.82,9.04,21.0,12.18,17.56,235.04
GESHIP.NS,20528.85,205.76,4.55,2.0,325.0,18.85,37.11,481.41
EIHOTEL.NS,20411.89,10.06,24.62,8.19,47.0,12.95,38.54,296.54
SUNDRMFAST.NS,19764.67,28.11,6.12,5.41,90.0,14.58,12.15,464.99
TRITURBINE.NS,19448.81,10.97,22.01,15.23,66.0,26.22,17.51,39.4
ERIS.NS,19409.3,45.22,17.47,25.07,103.0,18.07,27.12,241.13
KAJARIACER.NS,19091.31,30.6,12.34,4.02,99.0,16.5,16.1,536.33
SAGILITY.NS,18921.93,2.12,86.06,23.01,48.0,76.22,15.79,1010.76
CAMS.NS,18899.55,19.11,18.61,15.5,165.0,38.69,39.26,443.71
CAPLIPOINT.NS,18752.85,84.05,19.45,14.12,32.0,19.94,30.9,275.1
CASTROLIND.NS,18277.99,9.69,5.23,6.2,472.0,50.01,19.52,992.81
ELGIEQUIP.NS,18198.89,13.6,5.08,10.77,46.0,21.0,13.84,299.1
INOXINDIA.NS,18189.01,28.37,18.56,18.45,10.0,25.9,16.69,10.73
CHALET.NS,17834.88,29.44,52.1,39.8,24.0,19.13,36.84,728.51
EMAMILTD.NS,17804.84,17.77,6.62,3.47,288.0,27.61,15.62,757.21
SARDAEN.NS,17698.35,31.4,22.46,21.5,30.0,16.0,20.68,1397.02
FSL.NS,17510.59,9.57,9.5,23.23,215.0,15.9,12.17,1018.25
ECLERX.NS,17130.5,74.44,13.05,18.63,3.0,29.0,21.13,754.34
NATCOPHARM.NS,16504.08,79.18,25.64,1.24,71.0,16.85,10.44,1377.2
KPITTECH.NS,15876.29,23.3,18.71,15.11,150.0,19.73,15.86,1052.2
CCL.NS,15781.07,29.16,10.98,29.6,65.0,18.0,12.5,788.49
USHAMART.NS,15089.12,16.13,11.92,8.46,76.0,16.23,18.41,457.28
KFINTECH.NS,14825.89,19.8,20.64,25.38,138.0,22.31,32.35,258.68
RAINBOW.NS,14789.03,27.42,9.7,14.23,23.0,17.94,22.56,203.2
IGIL.NS,14613.48,11.85,20.91,8.9,143.0,33.08,60.49,438.74
KIRLOSBROS.NS,14580.27,47.11,16.72,6.67,37.0,16.49,10.96,198.92
VIJAYA.NS,13532.87,16.75,26.91,21.94,15.0,19.7,32.45,87.88
CONCORDBIO.NS,13061.33,24.74,2.81,2.39,60.0,13.54,33.84,171.73
LTFOODS.NS,13042.82,18.03,15.81,18.92,107.0,14.94,10.86,550.88
ENGINERSIN.NS,12657.76,12.29,25.93,9.4,134.0,23.79,15.22,250.07
ACE.NS,12371.76,36.71,34.24,6.18,20.0,20.68,13.84,324.01
INDGN.NS,11849.64,16.61,14.66,16.43,46.0,13.94,12.58,606.4
METROPOLIS.NS,11825.21,9.19,9.97,16.74,35.0,13.37,16.35,299.51
ZENSARTECH.NS,11471.42,33.7,33.22,7.71,308.0,17.63,15.67,717.1
IEX.NS,11050.45,5.69,17.24,17.12,328.0,38.16,83.75,417.99
INDIAMART.NS,10583.8,81.83,18.7,14.5,168.0,23.15,33.81,687.22
BBTC.NS,10174.14,178.1,39.47,6.76,231.0,28.71,16.67,2185.83
BLUEJET.NS,9833.76,14.3,15.69,15.48,21.0,19.88,27.62,114.68
BLS.NS,9613.16,16.65,50.67,33.72,130.0,30.14,21.95,765.84
ELECON.NS,9461.82,10.52,12.83,10.72,46.0,14.97,15.25,194.7
BSOFT.NS,7895.33,18.49,16.06,0.3,233.0,13.66,17.04,436.58
JYOTHYLAB.NS,7291.78,9.07,11.6,3.34,176.0,22.43,12.55,345.25
NEWGEN.NS,7138.44,22.18,19.3,12.51,118.0,16.98,13.09,222.11
CAMPUS.NS,6619.49,4.91,8.62,10.68,68.0,18.05,12.86,44.5
MAPMYINDIA.NS,6117.36,24.45,7.75,11.78,32.0,15.62,39.27,50.93
