Ticker,Date,Close,EMA200,RSI14,RSI_MA14,buy_signal,exit_signal,Signal
JKCEMENT.NS,2026-02-27,5784.0,4404.47,49.43,45.26,False,False,HOLD
MPHASIS.NS,2026-02-27,2309.8,2480.33,31.55,48.15,False,False,HOLD
ASTRAL.NS,2026-02-27,1635.1,1543.45,63.56,52.22,False,False,HOLD
COFORGE.NS,2026-02-27,1289.0,1301.88,31.01,46.37,False,False,HOLD
3MINDIA.NS,2026-02-27,36115.0,29500.74,60.96,60.87,False,False,HOLD
PGHH.NS,2026-02-27,11494.0,14091.68,27.94,35.06,False,False,HOLD
AJANTPHARM.NS,2026-02-27,2978.4,2212.78,64.9,58.1,False,False,HOLD
PAGEIND.NS,2026-02-27,33070.0,39345.23,32.45,28.87,False,False,HOLD
LTTS.NS,2026-02-27,3439.4,4226.63,31.45,44.63,False,False,HOLD
RADICO.NS,2026-02-27,2716.0,1985.98,40.2,51.69,False,False,HOLD
CRISIL.NS,2026-02-27,4606.4,4230.86,47.53,42.71,False,False,HOLD
JBCHEPHARM.NS,2026-02-27,2046.9,1473.73,70.97,61.0,False,False,HOLD
FORCEMOT.NS,2026-02-27,24452.0,9165.05,68.93,60.85,False,False,HOLD
KARURVYSYA.NS,2026-02-27,325.55,164.86,82.29,74.28,False,False,HOLD
ZFCVINDIA.NS,2026-02-27,15595.0,12477.82,59.3,57.39,False,False,HOLD
TATAELXSI.NS,2026-02-27,4714.0,6009.47,34.72,43.27,False,False,HOLD
GILLETTE.NS,2026-02-27,8623.0,7625.97,48.3,41.95,False,False,HOLD
HONAUT.NS,2026-02-27,31570.0,38251.67,38.89,38.91,False,False,HOLD
CDSL.NS,2026-02-27,1334.3,1120.43,37.48,41.85,False,False,HOLD
HSCL.NS,2026-02-27,490.35,350.59,56.03,50.87,False,False,HOLD
LALPATHLAB.NS,2026-02-27,1396.0,1347.06,42.08,42.36,False,False,HOLD
SUNTV.NS,2026-02-27,586.6,595.21,54.47,48.12,False,False,HOLD
KPITTECH.NS,2026-02-27,812.7,1109.54,22.38,40.02,False,False,HOLD
WELCORP.NS,2026-02-27,783.15,596.74,45.79,43.36,False,False,HOLD
CESC.NS,2026-02-27,155.72,135.13,45.54,46.39,False,False,HOLD
EIHOTEL.NS,2026-02-27,323.6,310.41,37.27,40.25,False,False,HOLD
SUNDRMFAST.NS,2026-02-27,927.75,1000.87,44.33,42.15,False,False,HOLD
CASTROLIND.NS,2026-02-27,187.3,181.67,43.48,40.84,False,False,HOLD
BRIGADE.NS,2026-02-27,748.35,840.83,30.87,35.4,False,False,HOLD
NEULANDLAB.NS,2026-02-27,13651.0,9252.22,44.88,47.25,False,False,HOLD
ELGIEQUIP.NS,2026-02-27,549.35,481.18,61.88,47.57,False,False,HOLD
FSL.NS,2026-02-27,240.2,253.46,26.83,41.19,False,False,HOLD
ECLERX.NS,2026-02-27,3472.5,2777.67,37.37,54.23,False,False,HOLD
NAVA.NS,2026-02-27,567.15,371.52,49.31,46.78,False,False,HOLD
NATCOPHARM.NS,2026-02-27,893.0,914.42,53.11,49.1,False,False,HOLD
TRITURBINE.NS,2026-02-27,493.35,468.15,42.26,43.94,False,False,HOLD
AKZOINDIA.NS,2026-02-27,3086.1,2930.05,45.31,43.0,False,False,HOLD
INDIAMART.NS,2026-02-27,2217.3,2437.39,43.5,39.84,False,False,HOLD
CAPLIPOINT.NS,2026-02-27,1729.5,1517.81,38.64,40.38,False,False,HOLD
ZENSARTECH.NS,2026-02-27,570.05,600.71,29.22,39.56,False,False,HOLD
KIRLOSBROS.NS,2026-02-27,1616.2,1341.28,42.69,38.31,False,False,HOLD
KSB.NS,2026-02-27,725.85,647.75,43.54,42.45,False,False,HOLD
BBTC.NS,2026-02-27,1778.5,1668.4,44.58,45.36,False,False,HOLD
USHAMART.NS,2026-02-27,405.25,306.11,45.86,52.88,False,False,HOLD
CANFINHOME.NS,2026-02-27,907.45,728.31,57.02,63.3,False,False,HOLD
J&KBANK.NS,2026-02-27,106.54,90.52,55.16,49.14,False,False,HOLD
BLS.NS,2026-02-27,281.75,285.41,40.23,37.95,False,False,HOLD
GRAVITA.NS,2026-02-27,1591.9,1302.58,42.99,48.41,False,False,HOLD
MGL.NS,2026-02-27,1163.2,1220.25,47.51,38.24,False,False,HOLD
IEX.NS,2026-02-27,125.72,152.61,38.4,40.43,False,False,HOLD
BSOFT.NS,2026-02-27,377.75,442.78,43.06,53.6,False,False,HOLD
ACE.NS,2026-02-27,877.35,901.83,40.83,37.61,False,False,HOLD
BATAINDIA.NS,2026-02-27,812.35,1332.42,21.35,26.51,False,False,HOLD
ELECON.NS,2026-02-27,426.35,428.63,39.59,36.54,False,False,HOLD
JYOTHYLAB.NS,2026-02-27,251.87,320.07,26.83,24.72,False,False,HOLD
NEWGEN.NS,2026-02-27,536.65,748.27,27.34,31.44,False,False,HOLD
SAREGAMA.NS,2026-02-27,341.7,405.99,33.35,30.54,False,False,HOLD
